page,page_count,exercise_templates
1,5,"{'id': 'CC016611', 'title': 'Clamshell', 'type': 'reps_only', 'primary_muscle_group': 'glutes', 'secondary_muscle_groups': [], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': '10D76E8F', 'title': 'Clap Push Ups', 'type': 'reps_only', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps', 'shoulders'], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'ABB00838', 'title': 'Clean', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '9E09CEC3', 'title': 'Clean and Jerk', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'D3095577', 'title': 'Clean and Press', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '652FEA39', 'title': 'Clean Pull', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'E23F1F2B', 'title': 'Climbing', 'type': 'duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '724CDE60', 'title': 'Concentration Curl', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '32C4D4A2', 'title': 'Cross Body Hammer Curl', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '2e99164c-d202-4bc0-953f-cfbc84deba48', 'title': 'Crucifixo Inverso Na Polia', 'type': 'weight_reps', 'primary_muscle_group': 'shoulders', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': True}"
1,5,"{'id': 'DCF3B31B', 'title': 'Crunch', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'EB43ADD4', 'title': 'Crunch (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'D928C232', 'title': 'Crunch (Weighted)', 'type': 'bodyweight_weighted', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'D39EC9EB', 'title': 'Curtsy Lunge (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'quadriceps', 'secondary_muscle_groups': ['glutes'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'D8F7F851', 'title': 'Cycling', 'type': 'distance_duration', 'primary_muscle_group': 'cardio', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'D8911FC4', 'title': 'Dead Bug', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'B9380898', 'title': 'Dead Hang', 'type': 'duration', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '99507114', 'title': 'Deadlift (Band)', 'type': 'weight_reps', 'primary_muscle_group': 'hamstrings', 'secondary_muscle_groups': ['quadriceps', 'lower_back', 'glutes'], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': 'C6272009', 'title': 'Deadlift (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'hamstrings', 'secondary_muscle_groups': ['quadriceps', 'lower_back', 'glutes'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '5F4E6DD3', 'title': 'Deadlift (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'hamstrings', 'secondary_muscle_groups': ['quadriceps', 'lower_back', 'glutes'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'FA5D0DE1', 'title': 'Deadlift High Pull', 'type': 'weight_reps', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '20870ED5', 'title': 'Deadlift (Smith Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'hamstrings', 'secondary_muscle_groups': ['quadriceps', 'lower_back', 'glutes'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'B923B230', 'title': 'Deadlift (Trap bar)', 'type': 'weight_reps', 'primary_muscle_group': 'hamstrings', 'secondary_muscle_groups': ['quadriceps', 'lower_back', 'glutes'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'DA0F0470', 'title': 'Decline Bench Press (Barbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps'], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': '18487FA7', 'title': 'Decline Bench Press (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'FAF31231', 'title': 'Decline Bench Press (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps'], 'equipment': 'machine', 'is_custom': False}"
